source,name,family,n,delta,theta_count,U,s,r,J,B,D,S,D_over_B,D_over_delta,negative_coefficients
bundle,bundle-7:original-h-active-boundary,compensated-insert-boundary,6,43325321/783235600,8,"[0, 1, 3]",2,1,[4],5/392,29/4480,29/4480,203/400,40560415/346602568,[]
bundle,bundle-7:original-h-active-boundary,compensated-insert-boundary,6,43325321/783235600,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-7:original-h-active-boundary,compensated-insert-boundary,6,43325321/783235600,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,51646555464/213377205925,[]
bundle,bundle-8:bundle-record-y=681/10000,compensated-insert,6,55319/1000000,8,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
bundle,bundle-8:bundle-record-y=681/10000,compensated-insert,6,55319/1000000,8,"[0, 2, 4]",2,1,[3],42/985,3297/246250,3297/246250,157/500,2637600/10897843,[]
fresh,fresh-alpha=183/200,fresh-two-carrier-insert-alpha-sequence,6,83667/1625000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=183/200,fresh-two-carrier-insert-alpha-sequence,6,83667/1625000,7,"[0, 2, 4]",2,1,[3],183/6539,3111/1307800,3111/1307800,17/200,648125/14028167,[]
fresh,fresh-alpha=187/200,fresh-two-carrier-insert-alpha-sequence,6,1516271/24250000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=187/200,fresh-two-carrier-insert-alpha-sequence,6,1516271/24250000,7,"[0, 2, 4]",2,1,[3],6545/195164,17017/7806560,17017/7806560,13/200,53178125/1525368626,[]
fresh,fresh-alpha=189/200,fresh-two-carrier-insert-alpha-sequence,6,1768787/24125000,7,"[0, 2, 4]",2,0,[],0,0,0,,0,[]
fresh,fresh-alpha=189/200,fresh-two-carrier-insert-alpha-sequence,6,1768787/24125000,7,"[0, 2, 4]",2,1,[3],3780/97079,2079/970790,2079/970790,11/200,25987500/889699861,[]
