family,params,k,n_rows,delta_exact,phi_over_delta_exact,phi_over_delta_float,certification,charts_checked,notes
# caveat,"all rows are L3 numerical evidence, not rigorous proof of (EX)",,,,,,,,floats are decimal display only
two_anchor_overlapping_stars,"a=1/100; foreign=8; centers=0,7; overlapping leaves",10,36,1/100,10/7,1.428571428571,certified_reduction,196,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 22]; Sstar/delta=17/7; per_anchor_min=['10/7', '10/7']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
two_anchor_overlapping_stars,"a=1/100; foreign=12; centers=0,11; overlapping leaves",14,56,1/100,16/11,1.454545454545,certified_reduction,484,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 34]; Sstar/delta=27/11; per_anchor_min=['16/11', '16/11']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
two_anchor_complete_vs_star,a=1/100; foreign=4; anchor0=complete; anchor1=star(center=0),6,22,1/100,3/2,1.500000000000,certified_reduction,72,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 16]; Sstar/delta=5/2; per_anchor_min=['3/2', '4/3']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
two_anchor_complete_vs_star,a=1/100; foreign=6; anchor0=complete; anchor1=star(center=0),8,46,1/100,5/3,1.666666666667,certified_reduction,300,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 36]; Sstar/delta=8/3; per_anchor_min=['5/3', '7/5']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
two_anchor_complete_vs_star,a=1/100; foreign=8; anchor0=complete; anchor1=star(center=0),10,78,1/100,7/4,1.750000000000,certified_reduction,784,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 64]; Sstar/delta=11/4; per_anchor_min=['7/4', '10/7']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_ternary_all,a=1/100; foreign=4; all e_u+e_v-2e_t triples with signs,5,28,1/50,11/8,1.375000000000,certified_reduction,24,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=3/1250<1/4; star=[0, 1, 2, 3, 4]; Sstar/delta=19/8; per_anchor_min=['11/8']; max_neg_shear=2; max_shear_norm_sq=6; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_ternary_all,a=1/100; foreign=6; all e_u+e_v-2e_t triples with signs,7,126,1/50,19/12,1.583333333333,certified_reduction,120,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=3/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6]; Sstar/delta=31/12; per_anchor_min=['19/12']; max_neg_shear=2; max_shear_norm_sq=6; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_ternary_all,a=1/100; foreign=8; all e_u+e_v-2e_t triples with signs,9,344,1/50,27/16,1.687500000000,certified_reduction,336,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=3/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8]; Sstar/delta=43/16; per_anchor_min=['27/16']; max_neg_shear=2; max_shear_norm_sq=6; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_ternary_all,a=1/100; foreign=10; all e_u+e_v-2e_t triples with signs,11,730,1/50,7/4,1.750000000000,certified_reduction,720,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=3/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]; Sstar/delta=11/4; per_anchor_min=['7/4']; max_neg_shear=2; max_shear_norm_sq=6; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_cycle_skip_edges,a=1/100; foreign=7; cycle edges plus skip-2 chords,8,35,1/100,12/7,1.714285714286,certified_reduction,28,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7]; Sstar/delta=19/7; per_anchor_min=['12/7']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_cycle_skip_edges,a=1/100; foreign=11; cycle edges plus skip-2 chords,12,55,1/100,20/11,1.818181818182,certified_reduction,44,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; Sstar/delta=31/11; per_anchor_min=['20/11']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
one_anchor_cycle_skip_edges,a=1/100; foreign=15; cycle edges plus skip-2 chords,16,75,1/100,28/15,1.866666666667,certified_reduction,60,"Hadamard reduction: theta class is all foreign units plus one signed row per anchor; 4*R2*a^2=1/1250<1/4; star=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]; Sstar/delta=43/15; per_anchor_min=['28/15']; max_neg_shear=1; max_shear_norm_sq=2; checks={BL:True, P2_via_BL:True, rowsum:True, delta_direct:True}"
